Name,Algorithm,Reduced,Iterations,Time
108940_1,simple greedy,True,15,36.54567217826843
29370_2,simple greedy,True,3,7.3473498821258545
164585_2,simple greedy,False,27,66.67779850959778
36934_2,simple greedy,True,13,34.285783767700195
122848_1,simple greedy,True,10,25.418043613433838
102894_3,simple greedy,True,13,33.48798632621765
130646_1,simple greedy,False,29,70.29532051086426
150835_2,simple greedy,True,12,31.048916578292847
23572_3,simple greedy,True,5,11.18510103225708
32205_1,simple greedy,True,2,4.691454648971558
110579_1,simple greedy,True,17,41.67898964881897
142240_2,simple greedy,True,2,5.241034269332886
138121_3,simple greedy,True,16,37.831122159957886
72277_1,simple greedy,True,22,52.46478009223938
80209_1,simple greedy,True,13,31.85823917388916
30407_2,simple greedy,True,4,10.200722455978394
110447_2,simple greedy,True,11,26.857319831848145
172372_1,simple greedy,True,4,10.594686269760132
66299_3,simple greedy,True,15,36.98332071304321
125197_2,simple greedy,True,3,7.349349021911621
140273_2,simple greedy,True,14,33.2930223941803
68505_3,simple greedy,True,9,20.583223819732666
109903_3,simple greedy,True,1,2.28289532661438
49503_2,simple greedy,True,10,23.856680870056152
123972_1,simple greedy,True,9,22.28112268447876
129668_1,simple greedy,False,7,17.164345026016235
109652_2,simple greedy,True,3,9.019878387451172
22353_3,simple greedy,True,11,26.988883018493652
70303_1,simple greedy,True,8,19.228584051132202
148748_2,simple greedy,True,4,9.954380750656128
123263_1,simple greedy,True,2,5.158206224441528
136603_3,simple greedy,True,11,25.801450490951538
4271_3,simple greedy,True,8,18.560818195343018
24143_3,simple greedy,True,8,19.123889207839966
113762_1,simple greedy,True,1,2.308872938156128
171544_1,simple greedy,True,13,33.04415273666382
31777_2,simple greedy,True,4,9.383904457092285
117179_1,simple greedy,True,14,33.52147316932678
31304_3,simple greedy,True,14,32.82750391960144
111022_3,simple greedy,True,14,34.318236351013184
97108_2,simple greedy,True,4,9.694076776504517
151684_1,simple greedy,True,3,7.196090936660767
163395_1,simple greedy,True,13,31.874762773513794
20695_2,simple greedy,True,5,12.814780473709106
105682_3,simple greedy,True,4,9.844722032546997
50972_1,simple greedy,True,10,25.843905687332153
163838_2,simple greedy,True,1,2.3492279052734375
35467_3,simple greedy,True,1,2.78056263923645
82173_2,simple greedy,True,10,24.78512477874756
9148_1,simple greedy,True,20,46.90130639076233
2639_3,simple greedy,True,8,19.818482637405396
55998_1,simple greedy,True,4,9.73412799835205
150916_3,simple greedy,True,10,25.635541439056396
57514_2,simple greedy,True,7,17.816354274749756
100719_3,simple greedy,True,10,24.416318655014038
155825_1,simple greedy,True,12,32.2786865234375
25737_1,simple greedy,True,4,10.033182859420776
172645_2,simple greedy,True,23,56.088661670684814
134174_1,simple greedy,True,6,15.529609203338623
55549_3,simple greedy,True,9,20.26680016517639
147503_2,simple greedy,True,11,26.035423517227173
60880_3,simple greedy,True,12,28.796132802963257
59939_1,simple greedy,True,27,66.7950086593628
112557_2,simple greedy,True,4,9.752925395965576
116808_3,simple greedy,True,4,9.690143346786499
94333_2,simple greedy,True,15,35.85159468650818
148360_2,simple greedy,True,7,18.167380571365356
167539_2,simple greedy,True,2,5.177205801010132
25152_3,simple greedy,True,7,16.788111209869385
82879_3,simple greedy,True,8,20.50818181037903
126766_3,simple greedy,True,11,27.313503742218018
154847_3,simple greedy,True,13,31.61267614364624
102528_3,simple greedy,True,4,9.251258373260498
159829_2,simple greedy,True,33,79.44996762275696
95451_3,simple greedy,True,16,39.74474620819092
139810_3,simple greedy,True,17,39.56027626991272
132181_2,simple greedy,False,29,68.44011878967285
127735_3,simple greedy,True,7,17.98529028892517
164037_3,simple greedy,True,10,24.35502600669861
24171_3,simple greedy,True,10,23.59829306602478
53304_2,simple greedy,True,15,35.9558961391449
56611_2,simple greedy,True,5,11.94506573677063
157413_3,simple greedy,True,4,10.24866509437561
81780_2,simple greedy,True,8,19.176721572875977
17231_2,simple greedy,True,11,26.404436826705933
